Site,pH
down-stream,5.444444
down-stream,5.1
down-stream,5.0
down-stream,5.444444
down-stream,5.9
down-stream,5.5
down-stream,5.1
down-stream,6.3
down-stream,6.0
down-stream,6.42
up-stream,6.0
up-stream,6.04
up-stream,6.7466
up-stream,6.05
up-stream,6.13
up-stream,6.282
up-stream,6.1999
up-stream,6.97358
up-stream,6.6070
up-stream,6.111
